Name,Task_description,Picture_description,AvgScoreMale,AvgScoreFemale
Letter-difference,"Participants had to solve as many <strong>Letter-difference tasks</strong> as possible within a given time. In each task, there were two 6x5 matrices. Both of these were filled with letters. While 28 of these were identical between the two matrices, in two places the letters did not match. The task was to click on the letters that did not match between the two matrices. In each task, for each of the two correctly found letters one point was awarded. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the letters that differ are: C,D on the left matrix; H,M on the right matrix. Selecting each of these would earn one point.",118.4132623,81.58673771
Maze,"Participants had to solve as many <strong>Maze tasks</strong> as possible within a given time.<br>  In each task, there was a maze. Using the arrow keys on the keyboard, participants had to move the pointer to the ending point. <br> For each correctly solved maze, they earned 5 points. <b> An average person earned 100 points on this task.</b>",An example task is depicted below. Solving this maze would earn 5 points.,110.619469,89.38053097
Mental-rotation,"Participants had to solve as many <strong>Mental-rotation tasks</strong> as possible within a given time. In each task, there was a reference shape and 3 candidate shapes. One of these candidate shapes was a rotated version of the reference shape. Participants had to mentally rotate the candidate shapes to find the one that matches the reference shape. <br> For each correct solution, they earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answer was the third option.",106.7805659,93.21943406
Multiplication,"Participants had to solve as many <strong>Multiplication tasks</strong> as possible within a given time. In each task, they were given two double- or single-digit numbers. Their task was to multiply these two numbers. For each correct answer, they earned one point. <b> An average person earned 100 points on this task.</b>",10 example tasks are depicted below. Each correct answer earned one point.,106.8947087,93.10529129
Number-in-Numbers," Participants had to solve as many <strong>Number-in-Numbers tasks</strong> as possible within a given time. In each task, there was a long number and a short number. The long number had 15 digits and the short number had 3 digits. By using the digits of the long number, participants needed to find as many summations as possible that add up to the short number. Each task allowed for multiple solutions. For each correct solution in each task, participants earned one point. <b> An average person earned 100 points on this task.</b>",An example task is depicted below. Here two of the correct answers were: 71+64 and 65+70. Each of these would earn one point.,100.5530417,99.44695827
Adding-numbers,"Participants had to solve as many <strong>Adding-numbers tasks</strong> as possible within a given time. In each task, there were five 2-digit numbers. Participants had to sum up these numbers. For each correct answer, they earned one point. An average person earned 100 points on this task. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answer is ""216"".",103.3057851,96.69421488
Quiz,"Participants had to solve as many <strong>multiple-choice questions</strong> on various topics as possible within a given time. For each question, participants were presented with four answers to choose from of which only one was correct. For each question that participants answered correctly, they received one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the correct answer was ""F. Scott Fitzgerald"".",102.3017903,97.69820972
Rearrange-words,"Participants had to solve as many <strong>Rearrange-words tasks</strong> as possible within a given time. In each task, they were given 5 words. They had to rearrange these words to form a grammatically coherent sentence.For each correctly solved sentence, they earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here the correct order is 4-1-3-2-5 (""The weather is fine today""). Submitting this would earn one point.",106.1571125,93.84288747
Stock-forecasting,"Participants had to <strong>forecast the price of a fictitious stock</strong> for 20 rounds. In each round, the actual price of the stock was determined based on two cues which were revealed to participants (for instance Cue_A= 10, Cue_B=20). Participants had to guess the stock price from these two cues. While these cues changed throughout the rounds, the exact relationship (price = 85+ 0.3 * Cue_A + 0.7*Cue_A) stayed the same. Although participants were told that the price depends on these two cues, the actual functional form was not communicated. Before they started the actual game, participants were given 10 examples to learn about the relationship. After participants made a guess in one round, they learned the actual stock price for this round and moved on to the next round. The closer the participants' guess was to the true price, the more points they earned. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. One the left picture, you can see the 10 rounds of the ""Learning Stage"". On the right picture you can see one round of the actual task. Here the correct ""Stock Price"" is 129 (85+0.3*100+0.7*20). Participants who submitted 129 earned 5 points, participants who submitted 119 or 139 earned 3 points and so on.",114.9425287,85.05747126
Typing,"Participants had to solve as many <strong>Typing tasks</strong> as possible within a given time. In each task, they had to type 5 given letters into a box. For each correctly typed word, they earned one point. <b> An average person earned 100 points on this task.</b>",Below 5 example tasks are depicted. Each correctly typed solution earned one point.,102.0408163,97.95918367
Verify-arithmetics,"Participants had to solve as many <strong>Verify-arithmetics tasks</strong> as possible within a given time. In each task, there was an equality statement that consisted of a subtraction or an addition of 4 single-digit numbers equaling another number. Participants had to assess whether the equality statement was correct (True, False). For each correct answer, they earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here the correct answer is ""False"".",99.38875913,100.6112409
Visual-memory,"Participants had to solve as many <strong>Visual-memory tasks</strong> as possible within a given time. In each task, participants saw a deck of 12 cards on the screen. The hidden side of the cards contained images of various animals. Each animal was shown on 2 cards; in other words, there were 6 pairs of cards with the image of the same animal. Participants could select two different cards at a time to find matching cards. Each time a matching pair was found, the two cards disappeared and participants earned one point. Each time non-matching cards were selected, they again flipped over and participants could try another time. In each task, there were 6  matching pairs. For each detected matching pair in each task, participants earned 1 point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, the second cell of the first column and the third cell of the second column have the same animal behind them, therefore flipping those two cells earns one point. ",109.1703057,90.82969432
Word-in-word,"Participants had to solve as many <strong> Word-in-Word tasks</strong> as possible within a given time. In each task, there was a long word consisting of 12 letters. Participants had to form as many words as possible by rearranging the letters of this word. In each task, there were multiple solutions possible. For each correct solution in each task, participants earned one point. <b> An average person earned 100 points on this task.</b>","An example task is depicted below. Here, two of the correct answers are: ""Live"", ""Use"", etc. Each of these would earn one point.",95.28346832,104.7165317
